title,author,publisher,category,publish_date,description
특이점이 온다 : 기술이 인간을 초월하는 순간,"Kurzweil, Ray",김영사,181.12. K8특,2025,
"AI 이후의 세계 : 챗GPT는 시작일 뿐이다, 세계질서 대전환에 대비하라","Kissinger, Henry A",윌북,331.54. K5A,2023,
가장 다정한 전염 : 혐오와 분열에 맞서 세상을 바꾸는 관대함의 힘,"Anderson, Chris",부키,194.5. A5가,2024,
샘 올트먼의 스타트업 플레이북 : 와이콤비네이터부터 챗GPT까지,"Altman, Sam",여의도책방,325.21. A4새,2023,
설득은 마술사처럼 : 청중을 사로잡는 마술사의 7가지 비밀,"Kwong, David",21세기북스,325.26. K87서,2019,
AI와 반도체,최종수,커뮤니케이션북스,,2025,
반도체 패권전쟁 : 10년 후 한국 반도체는 살아남을 수 있을까,이주완,이든하우스,320.9. 이776바,2025,
진짜 하루만에 이해하는 반도체 산업: 원데이클래스,박진성,T.W.I.G(티더블유아이지),569.4. 박79진,2023,
반도체 센서,김현후,내하,,2024,
반도체 공학 : 그림으로 보여주는 반도체의 핵심 원리,김동명,한빛아카데미,,2024,
"(요즘) AI 페어 프로그래밍 : AI 시대에 개발자로 살아남는 29가지 LLM 프롬프트 엔지니어링 with 깃허브 코파일럿, 클로드, 챗GPT",서지연,Golden rabbit,QA76.76.D47. 서79A,2024,
(개발자의 하루를 바꾸는) 코파일럿&챗GPT : AI 코딩 도구와 페어 프로그래밍하기,"Callaghan, Michael D",한빛미디어,QA76.76.D47. C3코,2023,
AI 시대의 프로그래머 : 개발 생산성을 200% 높여주는 AI 페어 프로그래밍,"Taulli, Tom",한빛미디어,QA76.76.D47. T3A,2024,
"AI 코딩 어시스턴트 깃허브 코파일럿 제대로 활용하기 : 코딩, 설계, 테스트, 디버깅까지 깃허브 코파일럿 & 챗GPT와 함께하는 생성형 AI 페어 프로그래밍","Porter, Leo",위키북스,QA76.73.P98. P6A,2024,
(인공지능(AI) 도구 오렌지로 바로 실행하는) 피플 애널리틱스,김범열,박영story,HF5549.5.D37. 김43피,2023,
오렌지3로 시작하는 융합 데이터 과학 : 중고등학생을 위한 인공지능 교실,채상미,길벗,QA76.9.D343. 채51오,2024,
모두를 위한 오렌지3 빅데이터 분석 : 연안 빅데이터로 쉽게 배우는 인공지능,장원두,씽크스마트,QA76.9.D343. 장67모,2024,
벡터 데이터베이스 설계와 구축 = Vector DBMS&RAG,송한림,아이리포,QA76.9.D26. 송91베,2025,
"(랭체인과 랭그래프로 구현하는) RAG·AI 에이전트 실전 입문 : RAG 설계부터 AI 에이전트 구현과 디자인 패턴까지, LLM 애플리케이션 개발자를 위한 완벽 실습서",니시미 마사히로,위키북스,Q336. 니59R,2025,
(이토록 쉬운) 오렌지3 데이터 분석 with 파이썬,임선집,루비페이퍼,QA76.9.D343. 임53오,2023,
시선들 : 캐슬린 제이미 산문,"Jamie, Kathleen",B:(빛소굴),844. J3시,2024,
별의 무덤을 본 사람들 : 블랙홀의 무한한 시간과 유한한 삶에 대하여,"Impey, Chris",시공사,443.8875. I45벼,2023,
(비교하며 통째로 기억하는) 회계 용어 도감 = Glossary of Accounting Terms,이시카와 가즈오,비즈니스랩,325.9. 이59회,2023,
일본에 노벨과학상이 많은 진짜 이유,강철구,어문학사,309.113. 강813이,2023,
리얼 타이베이 : 타이베이를 가장 멋지게 여행하는 방법,김홍래,한빛라이프,981.2402. 김95타,2024,
도시와 그 불확실한 벽,무라카미 하루키,문학동네,833.6. 무231도,2023,
두 사람의 인터내셔널 : 김기태 소설,김기태,문학동네,813.7. 김19두,2024,
법정의 얼굴들,박주영,모모,364.156. 박77버,2021,
인생은 순간이다 : 삶이라는 타석에서 평생 지켜온 철학,김성근,다산북스,818. 김53인,2023,
"중년부부의 이탈리아, 프랑스 한 달 배낭여행",임규수,바른북스,982.02. 임17주,2024,
"어떻게 놀아줘야 할까 : 오은영의 모두가 행복해지는 놀이. 1, 만3~4세 : 36~59개월 편",오은영,Oeun Life Science(오은라이프사이언스),598.1. 오682어 v.1,2023,
강신주의 장자수업. 1,강신주,EBS Books,152.226. 강59강 v.1,2023,
오타쿠의 욕망을 읽다 : 다음 트렌드를 주도하는 사람들,마이너 리뷰 갤러리,메디치(메디치미디어),331.53. 마69오,2024,
나는 메트로폴리탄 미술관의 경비원입니다: 가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기,"Bringley, Patrick",옹진지식하우스,848. B7나,2024,
연방준비제도 101: 뉴욕 연방준비은행 트레이더가 말하는 연준의 모든 것,"Wang, Joseph",비지니스101,327.21. W3여,2024,
국립중앙과학관 한국과학기술사관 도록,국립중앙과학관,국립중앙과학관,509.53. 국239하,2024,
코스미그래픽 : 인류가 창조한 우주의 역사,"Benson, Michael",롤러코스터,443.1. B4코,2024,
하나를 비우니 모든 게 달라졌다 : 미니멀라이프로 시작하는 선순환 프로젝트,이초아,북스톤,591. 이815하,2021,
나는 당신이 달러 투자를 시작했으면 좋겠습니다: 한 권으로 끝내는 나의 첫 달러 투자 교과서= Dollar investment,황호봉,원앤원북스,327.83. 황95나,2024,
일을 잘한다는 것 : 자신만의 감각으로 일하며 탁월한 성과를 올리는 사람들,야마구치 슈,리더스북,325.211. 야31이,2022,
"(속 깊은 자연과 불후의 예술, 그리고 다정한 삶을 만나는) 풍경의 안쪽",노중훈,상상출판,980.24. 노77푸,2024,
(세상에서 가장 쉬운 과학 수업) 반입자 : 미적분의 역사부터 디랙 방정식까지,정완상,성림원북스,420.1. 정66세,2024,
디지털고고학 개론 = Introduction to digital archaeology,최인화,주류성(주류성출판사),CC82.9. 최69디,2023,
요즘 어른을 위한 최소한의 세계사 [녹음자료],임소미,오디언소리 [공급],,2023,
Quantum continuous variables : a primer of theoretical methods,"Serafini, Alessio",CRC Press,QA76.889. S4Q,2024,
